PolicyQosClassificationHierarchy,9,8232,unsigned32
waasoptimizationSegment,9,9252,unsigned8
artClientpackets,9,9265,unsigned64
artServerpackets,9,9266,unsigned64
artCountRetransmissions,9,9268,unsigned32
artCountTransactions,9,9272,unsigned32
artTotalTransactionTimeSum,9,9273,unsigned32
artTotalTransactionTimeMaximum,9,9274,unsigned32
artTotalTransactionTimeMinimum,9,9275,unsigned32
artCountNewConnections,9,9282,unsigned32
artCountResponses,9,9292,unsigned32
artCountResponsesHistogramBucket1,9,9293,unsigned32
artCountResponsesHistogramBucket2,9,9294,unsigned32
artCountResponsesHistogramBucket3,9,9295,unsigned32
artCountResponsesHistogramBucket4,9,9296,unsigned32
artCountResponsesHistogramBucket5,9,9297,unsigned32
artCountResponsesHistogramBucket6,9,9298,unsigned32
artCountResponsesHistogramBucket7,9,9299,unsigned32
artCountLateResponses,9,9300,unsigned32
artResponseTimeSum,9,9303,unsigned32
artResponseTimeMaximum,9,9304,unsigned32
artResponseTimeMinimum,9,9305,unsigned32
artServerResponseTimeSum,9,9306,unsigned32
artServerResponseTimeMaximum,9,9307,unsigned32
artServerResponseTimeMinimum,9,9308,unsigned32
artTotalResponseTimeSum,9,9309,unsigned32
artTotalResponseTimeMaximum,9,9310,unsigned32
artTotalResponseTimeMinimum,9,9311,unsigned32
artNetworkTimeSum,9,9313,unsigned32
artNetworkTimeMaximum,9,9314,unsigned32
artNetworkTimeMinimum,9,9315,unsigned32
artClientNetworkTimeSum,9,9316,unsigned32
artClientNetworkTimeMaximum,9,9317,unsigned32
artClientNetworkTimeMinimum,9,9318,unsigned32
artServerNetworkTimeSum,9,9319,unsigned32
artServerNetworkTimeMaximum,9,9320,unsigned32
artServerNetworkTimeMinimum,9,9321,unsigned32
applicationHttpUriStatistics,9,9357,octetArray
PolicyQosQueueindex,9,9360,unsigned32
PolicyQosQueueINDEX,9,9360,unsigned32
PolicyQosQueuedrops,9,9361,unsigned64
applicationCategoryName,9,12232,unsigned32
applicationSubCategoryName,9,12233,unsigned32
applicationGroupName,9,12234,unsigned32
applicationHttpUser-agent,9,12235,octetArray
applicationTraffic-class,9,12243,unsigned32
applicationBusiness-relevance,9,12244,unsigned32
timestampAbsoluteMonitoring-interval,9,32733,unsigned64
netscalerRoundTripTime,5951,128,unsigned32
netscalerTransactionId,5951,129,unsigned32
netscalerHttpReqUrl,5951,130,string
netscalerHttpReqCookie,5951,131,string
netscalerFlowFlags,5951,132,unsigned64
netscalerConnectionId,5951,133,unsigned32
netscalerSyslogPriority,5951,134,unsigned8
netscalerSyslogMessage,5951,135,string
netscalerSyslogTimestamp,5951,136,unsigned64
netscalerHttpReqReferer,5951,140,string
netscalerHttpReqMethod,5951,141,string
netscalerHttpReqHost,5951,142,string
netscalerHttpReqUserAgent,5951,143,string
netscalerHttpRspStatus,5951,144,unsigned16
netscalerHttpRspLen,5951,145,unsigned64
netscalerServerTTFB,5951,146,unsigned64
netscalerServerTTLB,5951,147,unsigned64
netscalerAppNameIncarnationNumber,5951,150,unsigned32
netscalerAppNameAppId,5951,151,unsigned32
netscalerAppName,5951,152,string
netscalerHttpReqRcvFB,5951,153,unsigned64
netscalerHttpReqForwFB,5951,156,unsigned64
netscalerHttpResRcvFB,5951,157,unsigned64
netscalerHttpResForwFB,5951,158,unsigned64
netscalerHttpReqRcvLB,5951,159,unsigned64
netscalerHttpReqForwLB,5951,160,unsigned64
netscalerMainPageId,5951,161,unsigned32
netscalerMainPageCoreId,5951,162,unsigned32
netscalerHttpClientInteractionStartTime,5951,163,string
netscalerHttpClientRenderEndTime,5951,164,string
netscalerHttpClientRenderStartTime,5951,165,string
netscalerAppTemplateName,5951,167,string
